,anticluster_stimuli,Var2,Freq,task
707,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lychee01,1,3
735,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fluorescentlightbulb,1,3
755,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/photocopier,1,3
771,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/travelmug,1,3
787,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chandelier,1,3
795,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pavedsidewalk,1,3
811,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/springroll,1,3
827,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ducttape,1,3
843,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bed,1,3
859,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/blackolive,1,3
867,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/napkin,1,3
875,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/candydispenser,1,3
887,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toilet,1,3
895,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/keyboard,1,3
915,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ear,1,3
931,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carjack,1,3
935,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/recyclingbin,1,3
951,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jackolantern,1,3
967,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mortarandpestle,1,3
999,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donut,1,3
1019,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/rollerblade,1,3
1023,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/taillight,1,3
1031,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/inukshuk,1,3
1055,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shed02,1,3
1067,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chime,1,3
1087,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/freezer02,1,3
1111,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handblender,1,3
1127,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kneepad01c,1,3
1147,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cakeplatter,1,3
1175,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/swimsuit,1,3
1187,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chessknight03a,1,3
1191,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fanheater,1,3
1207,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/clover,1,3
1211,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/atm,1,3
1215,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waterfall,1,3
1243,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firealarm,1,3
1275,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brownsugar,1,3
1291,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/powerchair,1,3
1307,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mailtruck,1,3
1319,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fanblades,1,3
1331,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/martiniglass01b,1,3
1347,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/patiochair,1,3
1363,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pokerset,1,3
1383,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toyfiretruck,1,3
1395,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tricycle,1,3
1403,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/weddingcake,1,3
1419,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/apron,1,3
1423,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waders,1,3
1443,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/contactlens,1,3
1455,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stool01,1,3
1463,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/electricitymeter,1,3
1491,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cupcake,1,3
1519,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icebucket,1,3
1535,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/escalator,1,3
1547,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/diaperbag,1,3
1555,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sink,1,3
1575,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/whiteout,1,3
1591,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/greathornowl,1,3
1619,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/christmastree,1,3
