,X,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
12306,38102,a79b6,pm,5,ongoing,response,662908787,ongoing,3,129.626209671489,19.6389672807107,-25.6122002807108,25.6122002807108,33
12307,38111,a79b6,pm,5,ongoing,response,662908787,ongoing,4,11.6819987870444,-3.26916398018579,15.0567169801858,15.0567169801858,34
12308,38120,a79b6,pm,5,ongoing,response,662908787,ongoing,5,148.228587294413,122.278565910294,20.0282990897065,20.0282990897065,35
12309,38172,a79b6,pm,5,ongoing,response,662908787,ongoing,1,179.765257464061,-67.8155780565153,-22.0242819434847,22.0242819434847,36
12310,38181,a79b6,pm,5,ongoing,response,662908787,ongoing,2,77.0168575240184,15.8035042877164,-0.660424287716296,0.660424287716296,37
12311,38190,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-157.983279380602,-150.628341672812,3.39501167281219,3.39501167281219,38
12312,38199,a79b6,pm,5,ongoing,response,662908787,ongoing,4,121.000683457095,-58.1491894178092,11.1844094178092,11.1844094178092,39
12313,38208,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-65.8861464577124,102.05536644391,61.2589935560903,61.2589935560903,40
12314,38260,a79b6,pm,5,ongoing,response,662908787,ongoing,1,51.4272758743745,134.685953928065,34.3067860719351,34.3067860719351,41
12315,38269,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-44.727546016481,-6.83656002871862,-2.63666997128144,2.63666997128144,42
12316,38278,a79b6,pm,5,ongoing,response,662908787,ongoing,3,72.203382115197,-88.2254718748351,0.379351874835038,0.379351874835038,43
12317,38287,a79b6,pm,5,ongoing,response,662908787,ongoing,4,128.612449453772,-5.33793945553714,9.8043194555371,9.8043194555371,44
12318,38296,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-29.8323368334875,161.776758135286,70.0442818647143,70.0442818647143,45
12319,38348,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-132.56168672754,62.3404891761488,-10.2380591761488,10.2380591761488,46
12320,38357,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-28.0339616462372,-134.623600522617,-5.2863494773834,5.2863494773834,47
12321,38366,a79b6,pm,5,ongoing,response,662908787,ongoing,3,145.062001008126,-21.4409667184739,-5.21247328152617,5.21247328152617,48
12322,38375,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-166.687860448393,152.862302609566,-4.77026260956563,4.77026260956563,49
12323,38384,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-112.526972387808,-124.421699232788,39.2722392327884,39.2722392327884,50
12324,38436,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-22.2742432244668,1.71423333775329,17.6324266622466,17.6324266622466,51
12325,38445,a79b6,pm,5,ongoing,response,662908787,ongoing,2,142.044559100962,138.95281019852,177.84964980148,177.84964980148,52
12326,38454,a79b6,pm,5,ongoing,response,662908787,ongoing,3,45.7888719886353,-95.0398956030822,-96.2183043969178,96.2183043969178,53
12327,38463,a79b6,pm,5,ongoing,response,662908787,ongoing,4,75.0497570133926,2.39690685903201,-4.04882685903203,4.04882685903203,54
12328,38472,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-51.7439487264632,-114.68676923019,6.05617923018963,6.05617923018963,55
12329,38524,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-13.7343235699271,-34.723355497495,17.0979454974949,17.0979454974949,56
12330,38533,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-122.470699659728,-141.025899376351,-0.459830623649054,0.459830623649054,57
12331,38542,a79b6,pm,5,ongoing,response,662908787,ongoing,3,176.886138694197,173.414963376145,-24.0008333761452,24.0008333761452,58
12332,38551,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-162.959881188458,-15.6286607367003,27.2898507367004,27.2898507367004,59
12333,38560,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-64.3839977050567,-86.9026041868093,-3.1734058131907,3.1734058131907,60
12334,38616,a79b6,pm,5,ongoing,response,662908787,prom,1,-118.331605987006,138.21555728278,7.45321271721969,7.45321271721969,61
